family,name,n,tau_real,tau_diff_real,s,phi,nullpos_iid,p_iid,nullpos_diff_iid,p_diff_iid,nullpos_ar1,p_ar1,nullpos_diff_ar1,p_diff_ar1
Historical,Nuclear Energy,40,0.3333333333333334,,0.060474040550964385,0.7353911922260012,0.5163398692810458,0.45098039215686275,0.4909090909090909,,0.5128205128205128,0.38461538461538464,0.5555555555555556,
Historical,Nuclear Energy,40,-0.5,-0.4999999999999999,0.08616708313280026,0.7656042256247255,0.4853801169590643,0.7251461988304093,0.5060975609756098,0.7134146341463414,0.48175182481751827,0.7591240875912408,0.5433070866141733,0.7716535433070866
Historical,Nuclear Energy,30,0.75,0.009523809523809525,0.049010560002642034,0.8944307295105097,0.555,0.055,0.525,0.525,0.62,0.065,0.58,0.58
Historical,Nuclear Energy,54,0.9544159544159546,0.9569230769230769,0.06467386427435855,0.7653590773072942,0.495,0.0,0.505,0.0,0.495,0.0,0.455,0.0
Historical,Nuclear Energy,34,0.9120879120879122,0.6153846153846153,0.03739167689955097,0.7124605617070878,0.5125628140703518,0.01507537688442211,0.49746192893401014,0.15228426395939088,0.4444444444444444,0.05291005291005291,0.45555555555555555,0.16111111111111112
Historical,Hydroelectricity,46,0.019762845849802372,0.645021645021645,0.03455791790258643,0.7152689394873506,0.39285714285714285,0.39285714285714285,0.5213675213675214,0.23076923076923078,0.4108527131782946,0.4108527131782946,0.41935483870967744,0.08064516129032258
Historical,Nuclear Energy,44,-0.7222222222222222,0.0,0.048428939151753156,0.6307540411822771,0.4270833333333333,0.859375,0.423728813559322,0.4632768361581921,0.3875,0.8875,0.4726027397260274,0.5205479452054794
Historical,Nuclear Energy,27,0.2857142857142857,-0.04761904761904762,0.04906747166804417,0.3951063349180583,0.5284974093264249,0.43005181347150256,0.55,0.5777777777777777,0.5112359550561798,0.398876404494382,0.4678362573099415,0.5146198830409356
Historical,Hydroelectricity,43,0.911111111111111,1.0,0.043279690865292056,0.8231618690998521,0.49,0.005,0.47,0.0,0.4020100502512563,0.020100502512562814,0.39593908629441626,0.01015228426395939
Historical,Hydroelectricity,47,0.8707692307692309,0.8333333333333331,0.07763884611645672,0.12806044654059734,0.48366013071895425,0.0196078431372549,0.5337837837837838,0.033783783783783786,0.5317919075144508,0.017341040462427744,0.5493827160493827,0.030864197530864196
Historical,Hydroelectricity,15,0.3888888888888889,0.21428571428571427,0.1631481955923081,0.0,0.5078125,0.328125,0.5158730158730159,0.40476190476190477,0.5255474452554745,0.38686131386861317,0.5298507462686567,0.4626865671641791
Historical,Television,54,0.08571428571428572,0.8901098901098902,0.03196856659997207,0.764718995091613,0.42,0.38,0.475,0.045,0.42857142857142855,0.3520408163265306,0.48717948717948717,0.015384615384615385
Historical,Vacuums,57,-0.4571428571428572,0.6631578947368422,0.04232161817444959,0.95,0.515,0.76,0.495,0.17,0.455,0.755,0.55,0.12
Historical,Telephones,37,0.934640522875817,0.9411764705882352,0.039540593200940964,0.901223457989009,0.565,0.0,0.55,0.0,0.43,0.0,0.565,0.0
Historical,Television,37,0.2777777777777778,0.21428571428571427,0.03242225195494646,0.8442296581644023,0.53,0.44,0.48,0.42,0.51,0.42,0.4723618090452261,0.36180904522613067
Historical,Telephones,17,0.28888888888888886,0.5555555555555556,0.05489939321563975,0.8882145681420368,0.45,0.29,0.495,0.195,0.465,0.32,0.565,0.2
Historical,Radio,47,0.4458874458874459,0.8476190476190477,0.041592149623198765,0.9442991025203951,0.535,0.275,0.515,0.05,0.565,0.225,0.655,0.025
Historical,Passenger Cars,25,0.38181818181818183,0.9555555555555554,0.04484271307856344,0.9215522938660421,0.565,0.325,0.615,0.005,0.5,0.28,0.735,0.015
Historical,Radio,41,-0.6952380952380953,-0.4945054945054945,0.033173227031684134,0.944272132652486,0.46,0.89,0.52,0.76,0.40703517587939697,0.8241206030150754,0.45918367346938777,0.7295918367346939
Historical,Radio,41,0.6000000000000001,0.5321637426900584,0.04596946427330457,0.903358747066854,0.505,0.16,0.48,0.245,0.525,0.1,0.53,0.205
Historical,Passenger Cars,27,0.909090909090909,0.8909090909090909,0.03556199907811577,0.909221749104432,0.535,0.01,0.6,0.03,0.52,0.02,0.61,0.01
Historical,Radio,41,-0.38181818181818183,0.9999999999999999,0.043435992640824726,0.9343002507444491,0.495,0.7,0.505,0.005,0.39,0.69,0.635,0.0
Historical,Television,46,0.03557312252964427,0.8614718614718614,0.03662738386530266,0.9035777633357017,0.475,0.45,0.545,0.015,0.33146067415730335,0.3146067415730337,0.4540229885057471,0.017241379310344827
Historical,Radio,41,0.8181818181818182,0.8666666666666666,0.03680774057098698,0.9408884849856355,0.55,0.05,0.555,0.07,0.44,0.065,0.58,0.035
Historical,Passenger Cars,39,0.9999999999999999,-1.0,0.02462402774250764,0.864419533374578,0.47474747474747475,0.020202020202020204,0.43315508021390375,1.0,0.4648648648648649,0.032432432432432434,0.4311377245508982,1.0
Historical,Telephones,42,0.8614718614718614,0.4952380952380953,0.07676439642912591,0.95,0.56,0.01,0.575,0.25,0.485,0.01,0.56,0.215
Historical,Television,48,-0.9999999999999999,-1.0,0.03678725463264006,0.7735439464150387,0.38095238095238093,0.9761904761904762,0.375,1.0,0.43846153846153846,0.9769230769230769,0.4537037037037037,1.0
Historical,Railroad,47,0.9999999999999999,0.7999999999999999,0.1396027036376141,0.4929527155852458,0.5106382978723404,0.026595744680851064,0.5029940119760479,0.17964071856287425,0.5872093023255814,0.029069767441860465,0.625,0.19736842105263158
Historical,Jet Aircraft,48,-0.17142857142857143,0.22105263157894736,0.03534206219838217,0.95,0.44,0.525,0.47,0.35,0.465,0.545,0.585,0.46
Historical,Carbon Capture and Sequestration,36,0.20261437908496735,0.21726656384842563,0.06119069348485344,0.5426255295928039,0.545,0.455,0.53,0.46,0.525,0.405,0.5,0.39
Historical,Telephones,36,0.5672514619883041,0.2679738562091504,0.05891714764528101,0.95,0.575,0.19,0.56,0.435,0.56,0.185,0.535,0.35
Historical,Television,46,-0.2947368421052632,0.20467836257309938,0.031174351509229144,0.8552828921399632,0.455,0.64,0.555,0.47,0.495,0.625,0.525,0.425
Historical,Television,43,-0.6703296703296704,-0.3589743589743589,0.029499680842421827,0.9301735007158239,0.515,0.895,0.5,0.695,0.48,0.855,0.53,0.715
Historical,Radio,40,0.9064327485380117,0.5555555555555556,0.05818306893527488,0.95,0.475,0.0,0.485,0.19,0.48,0.005,0.6,0.215
Historical,Radio,34,-0.8666666666666666,-0.6,0.028205785037136482,0.8923492240888165,0.47150259067357514,0.9585492227979274,0.43859649122807015,0.7602339181286549,0.3651685393258427,0.8595505617977528,0.4859154929577465,0.7746478873239436
Historical,Radio,42,0.8974358974358972,0.7878787878787877,0.033743520331952645,0.9224551001840686,0.55,0.01,0.57,0.085,0.475,0.025,0.605,0.085
