family,name,n,tau_real,tau_diff_real,s,phi,nullpos_iid,p_iid,nullpos_diff_iid,p_diff_iid,nullpos_ar1,p_ar1,nullpos_diff_ar1,p_diff_ar1
Historical,Television,40,-0.01098901098901099,0.7435897435897434,0.03861933623896046,0.8844514723976792,0.4153846153846154,0.4256410256410256,0.5368421052631579,0.15263157894736842,0.40804597701149425,0.42528735632183906,0.5304878048780488,0.07317073170731707
Historical,Television,32,0.9411764705882352,0.7333333333333334,0.09415438458333891,0.8609734096752226,0.475,0.0,0.495,0.07,0.535,0.0,0.54,0.055
Historical,Television,43,-0.9999999999999999,1.0,0.033878135743986904,0.8441631295758111,0.28846153846153844,0.9519230769230769,0.4909090909090909,0.07272727272727272,0.32710280373831774,0.9532710280373832,0.5116279069767442,0.03488372093023256
Historical,Television,38,0.8666666666666666,0.7999999999999999,0.023942639289694836,0.907652210742275,0.525,0.075,0.457286432160804,0.10552763819095477,0.5663265306122449,0.09693877551020408,0.44680851063829785,0.12234042553191489
Historical,Steamships,42,0.3333333333333333,0.9999999999999999,0.04198908116529104,0.8297240746777552,0.54,0.405,0.4723618090452261,0.010050251256281407,0.43315508021390375,0.28342245989304815,0.4463276836158192,0.005649717514124294
Historical,Television,25,0.8181818181818181,0.16363636363636364,0.03794301816211189,0.9043279207916479,0.54,0.09,0.555,0.485,0.505,0.045,0.52,0.42
Historical,Television,34,-0.15,-0.8666666666666667,0.042752551834885626,0.8777842237576037,0.45077720207253885,0.5492227979274611,0.47368421052631576,0.9631578947368421,0.45664739884393063,0.5895953757225434,0.5389221556886228,0.9700598802395209
Historical,Crop Harvester,20,0.39999999999999997,-1.0,0.04789307272774753,0.16193178674155437,0.42408376963350786,0.3036649214659686,0.4125,1.0,0.4540540540540541,0.3621621621621622,0.5123456790123457,1.0
Historical,Television,22,0.7999999999999999,1.0,0.03133809508032953,0.5967219106970462,0.475,0.125,0.5794871794871795,0.08717948717948718,0.39,0.1,0.6043956043956044,0.13186813186813187
Historical,Crop Harvester,23,-0.5824175824175825,-0.30769230769230765,0.033804629187246485,0.5737414371462942,0.47,0.805,0.465,0.665,0.435,0.88,0.515,0.705
