idx,tech,country,scale,series_type,n_pts,year_start,excluded,excl_reason,end_frac,start_frac,s_score,r2_logistic,r2_linear,has_inflection,growth_range
88,Refrigerators,US,National,pre_saturation,86,1918,False,,1.0,0.0,0.0229,0.9853,0.9624,False,0.733
89,Telephones,Sweden,National,pre_saturation,109,1885,False,,1.0,0.0,0.0391,0.9911,0.9519,False,0.642
90,Laundry Dryers,US,National,pre_saturation,84,1920,False,,1.0,0.0,0.0353,0.9861,0.9508,False,0.702
91,Passenger Cars,Switzerland,National,pre_saturation,91,1910,False,,1.0,0.0,0.1891,0.9562,0.7671,False,0.495
92,Passenger Cars,Italy,National,pre_saturation,86,1914,False,,1.0,0.101,0.142,0.9574,0.8154,True,0.733
93,Passenger Cars,Chile,National,pre_saturation,83,1915,False,,1.0,0.0,0.0244,0.8529,0.8286,True,0.831
94,Passenger Cars,Denmark,National,pre_saturation,87,1914,False,,1.0,0.0,0.0523,0.9971,0.9448,False,0.632
95,Telephones,Norway,National,pre_saturation,85,1900,False,,1.0,0.0,0.0835,0.9858,0.9023,True,0.6
96,Passenger Cars,Argentina,National,pre_saturation,79,1920,False,,0.774,0.0,0.0499,0.9779,0.928,True,0.582
97,Passenger Cars,Sweden,National,pre_saturation,78,1923,False,,1.0,0.078,0.1857,0.9762,0.7905,True,0.59
98,Passenger Cars,Japan,National,pre_saturation,84,1914,False,,1.0,0.0,0.096,0.965,0.8689,False,0.631
99,Passenger Cars,Ireland,National,pre_saturation,78,1923,False,,1.0,0.095,0.0587,0.9942,0.9354,True,0.615
100,Passenger Cars,Mexico,National,pre_saturation,77,1924,False,,0.8,0.0,0.0323,0.893,0.8607,True,0.87
102,Passenger Cars,Australia,National,pre_saturation,75,1923,False,,0.947,0.0,0.2134,0.9544,0.741,True,0.627
103,Radio,Finland,National,pre_saturation,74,1926,False,,1.0,0.0,-0.0259,0.8609,0.8867,False,0.892
104,Passenger Cars,South Africa,National,pre_saturation,77,1920,False,,1.0,0.0,0.0235,0.9974,0.9739,True,0.532
106,Steamships,Austria,National,pre_saturation,76,1837,False,,1.0,0.0,0.0903,0.9242,0.8338,True,0.908
107,Telephones,Hungary,National,pre_saturation,77,1922,False,,0.992,0.217,0.0326,0.9384,0.9059,True,0.636
108,Passenger Cars,Venezuela,National,pre_saturation,74,1928,False,,1.0,0.135,0.05,0.3605,0.3105,True,0.865
109,Passenger Cars,New Zealand,National,pre_saturation,74,1927,False,,1.0,0.0,-0.006,0.4007,0.4066,True,0.905
110,Railroad,Hungary,National,saturating,47,1921,True,Truncated-start,0.981,0.878,,,,False,
111,Passenger Cars,Peru,National,pre_saturation,71,1927,False,,1.0,0.0,0.0392,0.4116,0.3724,True,0.944
112,Telephones,Ireland,National,pre_saturation,70,1924,False,,1.0,0.0,-0.0136,0.9749,0.9885,True,0.686
113,Fluid Catalytic Cracking Refineries,World,Global,pre_saturation,68,1940,False,,1.0,0.0,-0.0053,0.9886,0.9939,False,0.779
114,Telephones,India,National,pre_saturation,74,1915,False,,1.0,0.0,-0.0054,0.9873,0.9927,True,0.784
115,Passenger Cars,Iraq,National,saturating,67,1927,False,,1.0,0.0,-0.0186,0.821,0.8396,True,0.881
116,Passenger Cars,Belgium,National,pre_saturation,74,1928,True,Truncated-start,1.0,0.483,,,,False,
117,Telephones,Portugal,National,pre_saturation,70,1929,False,,1.0,0.343,0.0678,0.9613,0.8935,True,0.771
118,Passenger Cars,Panama,National,pre_saturation,70,1928,False,,1.0,0.257,-0.01,0.8915,0.9015,True,0.8
119,Telephones,Argentina,National,pre_saturation,76,1913,False,,1.0,0.0,0.0379,0.9853,0.9474,False,0.75
120,Railroad,Iraq,National,saturating,55,1921,False,,0.368,0.279,0.1692,0.5772,0.408,True,0.655
121,Passenger Cars,Turkey,National,pre_saturation,74,1930,True,Truncated-start,0.391,1.0,,,,False,
122,Telephones,Sri Lanka,National,pre_saturation,67,1922,False,,1.0,0.0,0.0694,0.9663,0.8969,True,0.597
123,Passenger Cars,Egypt,National,pre_saturation,70,1928,False,,1.0,0.214,-0.0018,0.2138,0.2156,True,0.886
124,Railroad,Syria,National,pre_saturation,67,1922,False,,1.0,0.0,0.1655,0.9833,0.8178,True,0.179
125,Passenger Cars,India,National,pre_saturation,66,1935,True,Truncated-start,0.258,1.0,,,,False,
126,Passenger Cars,Malawi,National,pre_saturation,67,1926,False,,0.965,0.0,0.1251,0.8391,0.714,True,0.821
127,Telephones,South Africa,National,pre_saturation,64,1925,False,,1.0,0.0,0.025,0.9857,0.9607,True,0.859
128,Telephones,Brazil,National,pre_saturation,82,1907,False,,1.0,0.0,0.0036,0.9879,0.9843,True,0.646
129,Passenger Cars,Thailand,National,pre_saturation,68,1930,False,,1.0,0.188,0.0215,0.5138,0.4923,True,0.794
130,Passenger Cars,Portugal,National,pre_saturation,68,1931,True,Truncated-start,0.989,0.6,,,,False,
131,Steamships,Italy,National,pre_saturation,64,1862,False,,1.0,0.0,0.0087,0.8367,0.8279,True,0.906
132,Passenger Cars,Dominican Republic,National,pre_saturation,69,1928,True,Truncated-start,0.091,1.0,,,,False,
133,Passenger Cars,Kenya,National,pre_saturation,66,1932,False,,0.941,0.0,0.0426,0.993,0.9504,True,0.621
135,Passenger Cars,Malaysia,National,pre_saturation,66,1924,True,Bell/Declining,0.464,0.0,,,,False,
136,Renewable Power,Peru,National,pre_saturation,57,1965,False,,1.0,0.0,0.5924,0.9991,0.4067,True,0.088
147,Hydroelectricity,Denmark,National,pre_saturation,57,1965,True,Truncated-start,0.841,0.921,,,,False,
149,Renewable Power,France,National,pre_saturation,57,1965,False,,1.0,0.0,0.0101,0.985,0.9749,True,0.667
150,Renewable Power,Germany,National,pre_saturation,57,1965,False,,1.0,0.0,0.3233,0.9989,0.6755,True,0.123
153,Renewable Power,Chile,National,pre_saturation,57,1965,False,,0.981,0.0,0.5921,0.999,0.407,True,0.088
154,Renewable Power,Brazil,National,pre_saturation,57,1965,False,,1.0,0.0,0.319,0.9932,0.6742,True,0.211
155,Hydroelectricity,Sri Lanka,National,pre_saturation,57,1965,False,,1.0,0.0,0.0814,0.9825,0.9011,True,0.526
157,Hydroelectricity,Taiwan,National,pre_saturation,57,1965,True,Bell/Declining,0.516,0.0,,,,False,
158,Hydroelectricity,Thailand,National,pre_saturation,57,1965,False,,0.949,0.0,-0.0226,0.6848,0.7074,True,0.737
159,Hydroelectricity,Vietnam,National,pre_saturation,57,1965,False,,0.863,0.0,0.0092,0.9862,0.977,False,0.667
160,Hydroelectricity,World,Global,pre_saturation,57,1965,False,,1.0,0.0,-0.0005,0.9892,0.9897,False,0.842
162,Hydroelectricity,Czech Republic,National,pre_saturation,57,1965,True,Truncated-start,0.12,1.0,,,,False,
164,Renewable Power,US,National,pre_saturation,57,1965,False,,1.0,0.0,0.0325,0.9536,0.9211,True,0.877
165,Renewable Power,Argentina,National,pre_saturation,57,1965,False,,1.0,0.0,0.3171,0.9938,0.6767,True,0.14
166,Nuclear Energy,World,Global,saturating,46,1965,False,,1.0,0.0,-0.0071,0.9855,0.9926,False,0.804
167,Hydroelectricity,Greece,National,pre_saturation,57,1965,False,,1.0,0.0,-0.0466,0.7206,0.7672,True,0.684
168,Hydroelectricity,Canada,National,saturating,57,1965,False,,1.0,0.0,-0.0033,0.9597,0.9629,True,0.877
169,Hydroelectricity,Hungary,National,pre_saturation,57,1965,False,,1.0,0.0,-0.0056,0.0609,0.0665,True,0.877
171,Hydroelectricity,Finland,National,pre_saturation,57,1965,True,Bell/Declining,0.651,0.211,,,,False,
172,Hydroelectricity,France,National,pre_saturation,57,1965,True,Bell/Declining,0.342,0.176,,,,False,
173,Hydroelectricity,Germany,National,pre_saturation,57,1965,True,Truncated-start,0.03,0.695,,,,False,
175,Nuclear Energy,Spain,National,saturating,40,1965,False,,1.0,0.0,0.4909,0.9921,0.5012,False,0.225
176,Nuclear Energy,Sweden,National,pre_saturation,57,1965,False,,1.0,0.0,0.1886,0.485,0.2964,True,0.526
177,Nuclear Energy,Switzerland,National,pre_saturation,57,1965,False,,0.981,0.0,0.2138,0.9752,0.7614,True,0.316
178,Hydroelectricity,South Africa,National,pre_saturation,57,1965,False,,1.0,0.066,0.7393,0.919,0.1797,False,0.123
180,Hydroelectricity,Australia,National,pre_saturation,57,1965,False,,1.0,0.082,0.1396,0.9858,0.8463,True,0.474
181,Nuclear Energy,United Kingdom,National,pre_saturation,57,1965,False,,0.931,0.0,0.1575,0.8952,0.7376,True,0.754
182,Hydroelectricity,Bangladesh,National,pre_saturation,57,1965,False,,1.0,0.0,0.5924,0.9991,0.4067,True,0.088
183,Hydroelectricity,China,National,pre_saturation,57,1965,False,,1.0,0.25,0.0981,0.6828,0.5847,True,0.825
187,Hydroelectricity,India,National,pre_saturation,57,1965,False,,0.987,0.0,-0.0004,0.9894,0.9897,True,0.649
188,Hydroelectricity,Indonesia,National,pre_saturation,57,1965,True,Bell/Declining,0.08,0.245,,,,False,
191,Hydroelectricity,Morocco,National,pre_saturation,57,1965,True,Truncated-start,1.0,0.715,,,,False,
192,Nuclear Energy,Slovakia,National,pre_saturation,57,1965,False,,1.0,0.0,0.9085,0.9984,0.0899,False,0.018
193,Hydroelectricity,Chile,National,pre_saturation,57,1965,False,,1.0,0.256,0.0307,0.2815,0.2508,True,0.86
194,Nuclear Energy,Italy,National,pre_saturation,57,1965,True,Truncated-start,0.893,0.909,,,,False,
195,Hydroelectricity,Egypt,National,pre_saturation,57,1965,False,,1.0,0.0,0.0446,0.9972,0.9527,True,0.456
197,Hydroelectricity,Colombia,National,pre_saturation,57,1965,False,,1.0,0.0,-0.0032,0.9936,0.9968,False,0.754
198,Nuclear Energy,Germany,National,saturating,42,1965,False,,1.0,0.0,0.0162,0.9595,0.9433,True,0.619
200,Nuclear Energy,France,National,saturating,44,1965,False,,1.0,0.0,0.0059,0.992,0.9861,True,0.682
201,Nuclear Energy,Netherlands,National,pre_saturation,57,1965,False,,0.962,0.0,0.1365,0.9925,0.8561,True,0.281
206,Nuclear Energy,Belgium,National,pre_saturation,57,1965,True,Bell/Declining,0.011,0.0,,,,False,
