tech_name,region,country,unit,year_start,year_peak,year_sat,series_type,scale,source
Passenger Cars,VEN,Venezuela,-,1928,1983,2001,pre_saturation,national,regional_csv
Passenger Cars,NZL,New Zealand,-,1927,2000,2000,pre_saturation,national,regional_csv
Railroad,HUN,Hungary,kilometers,1921,1962,1967,saturating,national,regional_csv
Passenger Cars,PER,Peru,-,1927,1997,1997,pre_saturation,national,regional_csv
Telephones,IRL,Ireland,-,1924,1993,1993,pre_saturation,national,regional_csv
Fluid Catalytic Cracking Refineries,World,World,MW,1940,2007,2007,pre_saturation,global,regional_csv
Telephones,IND,India,-,1915,1988,1988,pre_saturation,national,regional_csv
Passenger Cars,IRQ,Iraq,-,1927,1989,1993,saturating,national,regional_csv
Passenger Cars,BEL,Belgium,-,1928,2001,2001,pre_saturation,national,regional_csv
Telephones,PRT,Portugal,-,1929,1998,1998,pre_saturation,national,regional_csv
Passenger Cars,PAN,Panama,-,1928,1997,1997,pre_saturation,national,regional_csv
Telephones,ARG,Argentina,-,1913,1988,1988,pre_saturation,national,regional_csv
Railroad,IRQ,Iraq,kilometers,1921,1972,1975,saturating,national,regional_csv
Passenger Cars,TUR,Turkey,-,1930,2003,2003,pre_saturation,national,regional_csv
Telephones,LKA,Sri Lanka,-,1922,1988,1988,pre_saturation,national,regional_csv
Passenger Cars,EGY,Egypt,-,1928,1997,1997,pre_saturation,national,regional_csv
Railroad,SYR,Syria,kilometers,1922,1988,1988,pre_saturation,national,regional_csv
Passenger Cars,IND,India,-,1935,2000,2000,pre_saturation,national,regional_csv
Passenger Cars,MWI,Malawi,-,1926,1990,1992,pre_saturation,national,regional_csv
Telephones,ZAF,South Africa,-,1925,1988,1988,pre_saturation,national,regional_csv
Telephones,BRA,Brazil,-,1907,1988,1988,pre_saturation,national,regional_csv
Passenger Cars,THA,Thailand,-,1930,1997,1997,pre_saturation,national,regional_csv
Passenger Cars,PRT,Portugal,-,1931,1993,1998,pre_saturation,national,regional_csv
Steamships,ITA,Italy,-,1862,1924,1925,pre_saturation,national,regional_csv
Passenger Cars,DOM,Dominican Republic,-,1928,1996,1996,pre_saturation,national,regional_csv
Passenger Cars,KEN,Kenya,-,1932,1997,1997,pre_saturation,national,regional_csv
High-Speed Rail,World,World,kilometers,1964,2021,2021,pre_saturation,global,regional_csv
Passenger Cars,MYS,Malaysia,-,1924,1989,1989,pre_saturation,national,regional_csv
Renewable Power,PER,Peru,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,VEN,Venezuela,TWh,1965,2019,2021,pre_saturation,national,regional_csv
Renewable Power,AUT,Austria,TWh,1965,2019,2021,saturating,national,regional_csv
Renewable Power,BEL,Belgium,TWh,1965,2020,2021,pre_saturation,national,regional_csv
Renewable Power,BGR,Bulgaria,TWh,1965,2020,2021,pre_saturation,national,regional_csv
Renewable Power,HRV,Croatia,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,CYP,Cyprus,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,CZE,Czech Republic,TWh,1965,2020,2021,pre_saturation,national,regional_csv
Renewable Power,DNK,Denmark,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,COL,Colombia,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,EST,Estonia,TWh,1965,2021,2021,pre_saturation,national,regional_csv
