tech_name,region,country,unit,year_start,year_peak,year_sat,series_type,scale,source
Gold,PHL,Phillipines,metric tons,1908,2007,2008,pre_saturation,national,regional_csv
Telephones,NZL,New Zealand,-,1890,1987,1987,pre_saturation,national,regional_csv
Crude Oil,IRN,Iran,thousand metric tons,1912,1974,2008,pre_saturation,national,regional_csv
Telephones,BEL,Belgium,-,1896,1998,1998,pre_saturation,national,regional_csv
Telephones,FRA,France,-,1889,1985,1985,pre_saturation,national,regional_csv
Telegraph Traffic,ROU,Romania,Number (millions),1875,1926,1985,pre_saturation,national,regional_csv
Sulphuric Acid,RUS,Russia,thousand metric tons,1860,1988,2003,pre_saturation,national,regional_csv
Postal Traffic,TWN,Taiwan,Number (millions),1896,2000,2000,pre_saturation,national,regional_csv
Postal Traffic,PRT,Portugal,Number (millions),1878,1992,1992,pre_saturation,national,regional_csv
Lithium Mine Production,World,World,metric tons,1925,2018,2019,pre_saturation,global,regional_csv
Gold,COD,Zaire,metric tons,1910,1941,2004,pre_saturation,national,regional_csv
Passenger Cars,CAN,Canada,-,1904,1998,1998,pre_saturation,national,regional_csv
Crude Oil,ARG,Argentina,thousand metric tons,1915,1996,2008,pre_saturation,national,regional_csv
Crude Oil,PER,Peru,thousand metric tons,1915,1982,2008,pre_saturation,national,regional_csv
Cement,World,World,metric tons,1926,2014,2019,saturating,global,regional_csv
Passenger Cars,GBR,United Kingdom,-,1904,1998,1998,pre_saturation,national,regional_csv
Railroad,UGA,Uganda,kilometers,1905,1986,1998,saturating,national,regional_csv
Railroad,MDG,Madagascar,kilometers,1905,1984,1998,saturating,national,regional_csv
Railroad,MAR,Morocco,kilometers,1905,1928,1998,pre_saturation,national,regional_csv
Railroad,SDN,Sudan,kilometers,1906,1977,1998,saturating,national,regional_csv
Railroad,CIV,Ivory Coast,kilometers,1905,1955,1998,saturating,national,regional_csv
Postal Traffic,LKA,Sri Lanka,Number (millions),1900,1983,1993,pre_saturation,national,regional_csv
Zinc,CAN,Canada,thousand metric tons,1911,2002,2003,pre_saturation,national,regional_csv
Railroad,COG,Republic of the Congo,kilometers,1905,1995,1998,saturating,national,regional_csv
